,ars,db,k,silhouette,time,seconds
0,6.826789991637767e-08,0.4211945242711094,2,0.9973498370915256,0 days 00:01:53.251386000,113.251386
1,5.869728293764621e-08,0.28115923326168085,3,0.9964424674442612,0 days 00:00:00.120037000,0.120037
2,5.364189628559041e-06,0.4357246758086379,4,0.9849724617183053,0 days 00:00:00.112248000,0.112248
3,4.637751608437424e-06,0.3641012123493891,5,0.9794985495571461,0 days 00:00:00.114934000,0.114934
4,3.5984523510150614e-05,0.42960720202325803,6,0.9425739600913966,0 days 00:00:00.110663000,0.110663
5,3.598484757111938e-05,0.34833445596588203,7,0.9425444483970711,0 days 00:00:00.111713000,0.111713
6,0.008518353178158803,0.40799396511072,8,0.8482087265492515,0 days 00:00:00.110094000,0.110094
7,0.008518342418604231,0.3774952012337176,9,0.8481915588744184,0 days 00:00:00.110056000,0.110056
8,0.008517652978329638,0.3670659898316187,10,0.8485213011384071,0 days 00:00:00.110196000,0.110196
9,0.008517647474047901,0.37462622653035815,11,0.8485244250920837,0 days 00:00:00.120625000,0.120625
10,0.00851764323470704,0.3757308576169158,12,0.848547318457863,0 days 00:00:00.111408000,0.111408
11,0.007146449145134277,0.37144624351326133,13,0.8591464814408256,0 days 00:00:00.111787000,0.111787
12,0.007141427501139917,0.3854007402075614,14,0.8593726994996256,0 days 00:00:00.112264000,0.112264
13,0.007140871033413861,0.4045885207246708,15,0.8594753918210228,0 days 00:00:00.111721000,0.111721
14,0.006056527893821542,0.4056957813153646,16,0.846053953994106,0 days 00:00:00.110150000,0.11015
15,0.006056520626419885,0.39795821139614657,17,0.846048453496104,0 days 00:00:00.109430000,0.10943
16,0.006056488164145407,0.40332733625182865,18,0.8460472089288835,0 days 00:00:00.108938000,0.108938
17,0.006056434919371806,0.4116977425946152,19,0.8460969288020156,0 days 00:00:00.113303000,0.113303
18,0.005987016830860013,0.4169241235310883,20,0.8466226999056143,0 days 00:00:00.110519000,0.110519
